"Character","Reading"
"一","yī"
"丁","dīng"
"七","qī"
"万","wàn"
"丈","zhàng"
"三","sān"
"上","shàng,shang"
"下","xià,xia"
"不","bù,bu"
"与","yǔ,yù"
"丑","choǔ"
"专","zhuān"
"且","qiě"
"世","shì"
"丘","qiū"
"丙","bǐng"
"业","yè"
"丛","cóng"
"东","dōng"
"丝","sī"
"丟","diū"
"丢","diū"
"两","liǎng"
"严","yán"
"丧","sàng"
"个","gè,ge,gě"
"丫","yā"
"中","zhōng,zhòng"
"丰","fēng"
"串","chuàn"
"临","lín"
"丸","wán"
"丹","dān,dan"
"为","wèi,wéi"
"主","zhǔ"
"丽","lì"
"举","jǔ,ju"
"乃","nǎi"
"久","jiǔ"
"么","me"
"义","yì"
"之","zhī"
"乌","wū"
"乎","hu,hū"
"乏","fá"
"乐","lè,yuè"
"乒","pīng"
"乓","pāng"
"乖","guāi"
"乘","chéng"
"乙","yǐ"
"九","jiǔ"
"也","yě"
"习","xí"
"乡","xiāng"
"书","shū"
"买","mǎi"
"乱","luàn"
"乳","rǔ"
"亂","luàn"
"了","le,liǎo,liào"
"予","yǔ"
"争","zhēng"
"事","shì,shi"
"二","èr"
"于","yú"
"亏","kuī"
"云","yún"
"互","hù"
"五","wǔ"
"井","jǐng"
"亚","yà"
"些","xiē"
"亞","yà"
"亡","wáng"
"交","jiāo"
"亦","yì"
"产","chǎn"
"亩","mǔ"
"享","xiǎng"
"亭","tíng"
"亮","liàng,liang"
"亲","qīn,qin"
"人","rén,ren"
"亿","yì"
"什","shén,shen"
"仅","jǐn"
"仇","choú"
"今","jīn"
"介","jiè"
"仍","réng"
"从","cóng,cōng"
"仓","cāng"
"仔","zǐ"
"他","tā"
"仗","zhàng"
"付","fù,fu"
"仙","xian,xiān"
"代","dài"
"令","lìng"
"以","yǐ"
"仪","yí"
"们","men"
"仰","yǎng"
"件","jiàn"
"价","jià"
"任","rèn"
"份","fèn,fen"
"仿","fǎng"
"企","qǐ"
"伊","yī"
"伍","wu"
"伏","fú"
"伐","fá"
"休","xiū"
"众","zhòng"
"优","yoū"
"伙","huǒ,huo"
"会","huì,kuài"
"伞","sǎn"
"伟","wěi"
"传","chuán,zhuàn"
"伤","shāng"
"伪","wěi"
"伯","bó,bo"
"估","gū"
"伴","bàn"
"伶","ling"
"伸","shēn"
"伺","cì"
"似","shì,sì"
"佃","diàn"
"但","dàn"
"位","wèi"
"低","dī"
"住","zhù"
"佑","yoù"
"体","tǐ"
"何","hé"
"余","yú"
"佛","fú"
"作","zuò"
"你","nǐ"
"佩","pèi"
"佳","jiā"
"使","shǐ"
"來","lái"
"例","lì"
"侍","shì"
"供","gōng,gòng"
"依","yī"
"侦","zhēn"
"侧","cè"
"侮","wǔ"
"侵","qīn"
"便","biàn,pián"
"促","cù"
"俄","é"
"俗","sú"
"俘","fú"
"保","bǎo"
"信","xìn"
"俩","liǎ"
"俭","jiǎn"
"修","xiū"
"俯","fǔ"
"俱","jù"
"俺","ǎn"
"倆","liǎ"
"倉","cāng"
"個","gè,ge,gě"
"倍","bèi"
"們","men"
"倒","dào,dǎo"
"倘","tǎng"
"候","hou,hoù"
"倚","yǐ"
"借","jiè"
"倡","chàng"
"倦","juàn"
"债","zhài"
"值","zhí"
"倾","qīng"
"假","jiǎ,jià"
"偉","wěi"
"偎","wēi"
"偏","piān"
"做","zuò"
"停","tíng"
"健","jiàn"
"側","cè"
"偵","zhēn"
"偶","oǔ"
"偷","toū"
"偽","wěi"
"偿","cháng"
"傅","fu"
"傍","bàng"
"傘","sǎn"
"備","bèi"
"储","chǔ"
"催","cuī"
"傲","ào"
"傳","chuán,zhuàn"
"債","zhài"
"傷","shāng"
"傻","shǎ"
"傾","qīng"
"僅","jǐn"
"像","xiàng"
"僚","liáo"
"僱","gù"
"僵","jiāng"
"價","jià"
"儀","yí"
"億","yì"
"儉","jiǎn"
"償","cháng"
"優","yoū"
"儲","chǔ"
"儿","r,ér"
"允","yǔn"
"元","yuán"
"兄","xiōng,xiong"
"充","chōng"
"先","xiān"
"光","guāng"
"克","kè"
"免","miǎn"
"兒","r,ér"
"兔","tù"
"党","dǎng"
"兜","doū"
"入","rù"
"內","nèi"
"全","quán"
"兩","liǎng"
"八","bā"
"公","gōng"
"六","liù"
"共","gòng"
"关","guān"
"兴","xìng,xīng"
"兵","bīng"
"其","qí"
"具","jù,ju"
"典","diǎn"
"养","yǎng"
"兼","jiān"
"兽","shoù"
"内","nèi"
"冈","gāng"
"冊","cè"
"册","cè"
"再","zài"
"冒","mào"
"写","xiě"
"军","jūn"
"农","nóng"
"冤","yuān"
"冬","dōng"
"冰","bīng"
"冲","chōng,chòng"
"决","jué"
"况","kuàng"
"冶","yě"
"冷","lěng"
"冻","dòng"
"净","jìng"
"凄","qī"
"准","zhǔn"
"凉","liáng"
"凍","dòng"
"减","jiǎn"
"凑","coù"
"凝","níng"
"几","jǐ,jī"
"凡","fán"
"凤","fèng"
"凫","fú"
"凭","píng"
"凰","huáng"
"凳","dèng"
"凶","xiōng"
"凸","tū"
"凹","āo"
"出","chū"
"击","jī"
"凿","záo"
"刀","dāo"
"分","fēn,fèn,fen"
"切","qiè,qiē"
"刊","kān"
"刑","xíng"
"划","huà,huá"
"列","liè"
"则","zé"
"刚","gāng"
"创","chuàng,chuāng"
"初","chū"
"判","pàn"
"別","bié,biè"
"刨","páo"
"利","lì,li"
"别","bié,biè"
"刮","guā"
"到","dào,dao"
"制","zhì"
"刷","shuā"
"刹","shā,chà"
"刺","cì"
"刻","kè"
"剂","jì"
"則","zé"
"削","xuē,xiāo"
"前","qián"
"剎","shā,chà"
"剑","jiàn"
"剔","tī"
"剖","poū"
"剛","gāng"
"剝","bō"
"剥","bō"
"剧","jù"
"剩","shèng"
"剪","jiǎn"
"副","fù"
"割","gē"
"創","chuàng,chuāng"
"剿","jiǎo"
"劇","jù"
"劈","pī"
"劍","jiàn"
"劑","jì"
"力","lì,li"
"劝","quàn"
"办","bàn"
"功","gōng"
"加","jiā"
"务","wu,wù"
"劣","liè"
"动","dòng"
"助","zhù"
"努","nǔ"
"励","lì"
"劲","jìn"
"劳","láo"
"势","shì,shi"
"勁","jìn"
"勃","bó"
"勇","yǒng"
"勉","miǎn"
"勒","lēi"
"動","dòng"
"勘","kān"
"務","wu,wù"
"勝","shèng"
"勞","láo"
"勢","shì,shi"
"勤","qín"
"勵","lì"
"勸","quàn"
"勻","yún"
"勾","goū"
"匀","yún"
"包","bāo"
"匆","cōng"
"化","huà"
"北","běi"
"匙","shi"
"匠","jiang,jiàng"
"匪","fěi"
"匯","huì"
"匹","pǐ"
"区","qū"
"医","yī"
"匾","biǎn"
"區","qū"
"十","shí"
"千","qiān"
"升","shēng"
"午","wǔ,wu"
"半","bàn"
"华","huá"
"协","xié"
"卑","bēi"
"協","xié"
"单","dān"
"卖","mài,mai"
"南","nán"
"博","bó"
"卜","bo"
"占","zhàn"
"卡","kǎ"
"卧","wò"
"卫","wèi"
"印","yìn"
"危","wēi"
"即","jí"
"却","què"
"卵","luǎn"
"卷","juǎn,juàn"
"卸","xiè"
"卻","què"
"厂","chǎng"
"厅","tīng"
"历","lì"
"厉","lì"
"压","yā"
"厌","yàn"
"厕","cè"
"厘","lí"
"厚","hoù"
"原","yuán"
"厢","xiāng"
"厦","shà"
"厨","chú"
"厭","yàn"
"厲","lì"
"去","qù"
"县","xiàn"
"参","cān,shēn"
"參","cān,shēn"
"又","yoù"
"及","jí"
"友","you,yoǔ"
