Character Code,Beta Code Value
0391,*A
03B1,A
0392,*B
03B2,B
039E,*C
03BE,C
0394,*D
03B4,D
0395,*E
03B5,E
03A6,*F
03C6,F
0393,*G
03B3,G
0397,*H
03B7,H
0399,*I
03B9,I
039A,*K
03BA,K
039B,*L
03BB,L
039C,*M
03BC,M
039D,*N
03BD,N
039F,*O
03BF,O
03A0,*P
03C0,P
0398,*Q
03B8,Q
03A1,*R
03C1,R
03A3,*S
03C3,S1
03C2,S2
03F9,*S3
03F2,S3
03A4,*T
03C4,T
03A5,*U
03C5,U
03DC,*V
03DD,V
03A9,*W
03C9,W
03A7,*X
03C7,X
03A8,*Y
03C8,Y
0396,*Z
03B6,Z
0313,)
02BC,)
0314,(
02BD,(
0301,/
00B4,/
0342,=
1FC0,=
0300,\
0060,\
0308,+
00A8,+
0345,|
1FBE,|
0323,?
002E,.
002C,","
00B7,:
003B,;
2018,'
2019,'
2010,-
2014,_
2035,<2
2032,>2
201C,""""
201D,""""
201E,"""1"
201A,"""4"
201B,"""5"
00AB,"""6"
00BB,"""6"
2039,"""7"
203A,"""7"
005B,[
005D,]
0028,[1
0029,]1
2329,[2
232A,]2
007B,[3
007D,]3
27E6,[4
27E7,]4
230A,[5
2E44,[5
230B,]5
2E45,]5
2308,[6
2E42,[6
2309,]6
2E43,]6
208D,[11
208E,]11
2192,[12
2190,]12
007C+003A,[14
003A+007C,]14
230A+230A,[17
230B+230B,]17
27EA,[18
27EB,]18
23A7,[20
23AB,]20
23AA,[21
23A8,[22
23AC,]22
23A9,[23
23AD,]23
239B,[30
329E,]30
239C,[31
239F,]31
239D,[32
32A0,]32
2E02,[70
2E03,]70
2E04,[71
2E05,]71
2E09,[72
2E0A,]72
2E0B,[73
2E0C,]73
2282,[84
2283,]84
0028+0028,[85
0029+0029,]85
2020,%
003F,%1
002A,%2
002F,%3
0021,%4
007C,%5
003D,%6
002B,%7
0025,%8
0026,%9
003A,%10
2022,%11
2021,%13
00A7,%14
02C8,%15
00A6,%16
2016,%17
0027,%18
2013,%19
0327,%25
0304,%26
0306,%27
0323+0323,%29
1FCE,%35
1FDE,%36
1FDD,%37
1FDF,%38
23D1,%40
23D5,%42
