Character,Reading
㐁,tiàn
㐆,yǐn
㐌,yí
㐖,xié
㐤,dān qiú
㐨,xù
㐩,xíng
㐲,dài
㐳,wù
㐸,qiàn cì
㐺,yín zhòng
㐻,nèi
㑉,sù
㑊,yì
㑋,qióng
㑌,wāng kuāng
㑍,lèi
㑎,nǎo
㑐,shū
㑗,shēn
㑙,dié
㑚,nuó
㑛,sù
㑜,yì chì
㑞,yìng
㑟,běng
㑣,lán
㑥,yì
㑦,lì
㑮,hún
㑯,xǔ
㑳,zhòu zhū
㑶,xì
㑸,yáo
㑻,mà
㑼,lüè
㑾,yáo
㑿,zhào
㒀,zhāi zhǎ
㒁,yǔ
㒂,zhuó
㒄,rǎn
㒅,qǐ
㒇,wǔ
㒈,hàn
㒊,sè
㒍,léi
㒎,sà
㒑,kuǐ huì
㒓,tà
㒔,shú dú tù
㒕,yāng
㒙,mián
㒚,yìn wěn
㒛,diào
㒜,yǔ
㒝,miè wà
㒟,niǎo
㒠,xiè
㒡,yóu
㒤,chè
㒥,fēng
㒦,lěi lèi
㒴,gǔ
㒸,suì
㒼,mán
㒽,quān
㒾,shì
㒿,lí
㓃,dù
㓄,zhèn
㓅,tīng
㓈,bìng
㓉,huò
㓊,dòng
㓋,gòng
㓌,chēng
㓎,qīn qìn qǐn
㓏,jiǒng
㓐,lù
㓑,xìng
㓓,nán
㓔,xiè
㓖,bì
㓘,sù
㓚,gōng
㓞,qià
㓟,pí
㓠,diàn diǎn
㓡,fǔ guā
㓢,luò
㓣,qià gē
㓤,qià
㓦,bāi
㓧,gān
㓩,xuān jiē
㓭,shé
㓱,tóu shū
㓲,piān
㓳,dī
㓴,ruǎn
㓶,qiè
㓸,zhuō dōu
㓹,ruì cuì jì
㓺,jiān qián
㓼,chì
㓽,chóng
㓾,xī chí
㔁,dēng
㔂,lín
㔃,jué xuē
㔄,sù
㔅,xiào
㔆,zàn
㔊,zhǎn dǎn
㔋,jiān lán
㔌,zòu cǒu
㔍,chuā zhá
㔎,xiè
㔏,lì luǒ
㔒,xí
㔓,jiǎn
㔕,jí
㔗,fèi bèi fú
㔙,bēng
㔝,liǎng liáng
㔞,kuài
㔠,xiā hé
㔡,biē
㔢,jué xuē
㔣,léi
㔤,xìn
㔥,bài pí
㔦,yǎng
㔨,bèi
㔩,è
㔪,lǔ
㔮,nuó
㔯,xuán suǎn
㔴,yì
㔵,xuǎn
㔶,gòng gǎn
㔷,lòu
㔸,tī
㔹,lè
㔾,xiān jié
㔿,zòu
㕂,yín qín
㕃,xī
㕄,zhǐ
㕅,jiá
㕆,hù
㕇,lā
㕈,yǐ
㕉,kè
㕊,fū
㕋,qín
㕌,ài
