Character,Reading
㞮,deru dasu
㡡,tobari kaya
一,hitotsu hitotabi hajime
丁,hinoto ataru yoboro
丂,samatagerareru
七,nanatsu nanatabi
丄,ue kami
丅,shimo
万,yorozu
丈,take dake
三,mitsu mitabi
上,ue kami noboru
下,shita shimo moto
丌,sono sore dai
不,sezu niarazu inaya
与,ataeru kumisuru tomoni
丏,mienu
丐,kou
丑,ushi
丒,ushi
专,moppara
且,katsu
丕,ookii
世,yo
丗,yo
丘,oka
丙,hinoe
丞,sukuu tasukeru
丟,saru nageutsu
丠,oka
両,futatsu
丢,saru nageutsu
丣,tori
两,futatsu
並,nami naraberu narabini
丨,susumu shirizoku
丩,matsuwaru
个,ko hi
丫,hutamata agemaki
中,naka uchi ataru
丮,motsu toru
丯,sanransuru
丰,mimeyoi shigeru
丱,agemaki aragane
串,kushi tsuranuku
丳,kushi
丵,kusanomuragari
丶,ten chobo shirushi
丸,marui marumeru tama
丹,aka ni
主,nushi omo aruji
丼,donburi
丽,uruwashi
举,ageru
丿,motoru
乀,magaru
乁,nagareru
乂,karu osameru osamaru
乃,sunawachi no
乄,shime shite
久,hisashii
乆,hisashii
之,yuku kore no
乍,tachimachi nagara
乎,yo kana ka
乏,toboshii
乑,narabitatsu
乕,tora
乖,modoru somuku
乗,noru noseru
乘,noru
乙,kinoto oto
乚,kakureru
乜,yabunirami
九,kokonotsu
乞,kou koi
也,nari mata
乢,kasa futa oou
乨,hajimeru hajimaru
乩,uranau
乪,kuma
乱,midareru osameru midasu
乳,chichi chi
乴,hineru
乵,susumu
乹,kawaku kawakasu
乾,kawaku kawakasu inui
乿,osameru
亀,kame
亂,midareru
亃,ureru
亄,musaboru
亅,kagi
了,owaru tsuini
予,ataeru arakajime
争,arasou arasoi ikadeka
亊,koto tsukau kototosuru
事,koto tsukau kototosuru
二,futatsu futatabi
亍,tatazumu
于,kokoni yuku
亏,kakeru
云,iu
互,tagai
五,itsutsu
井,i ido
亖,yo yotsu yottsu yon
亗,toshi yowai
亘,motomeru watari
亙,wataru watari
些,isasaka
亜,tsugu
亝,sorou hitoshii hitoshiku
亞,tsugu
亟,sumiyaka
亠,keisan nabebuta
亡,nai nakunaru horobiru
亢,takaburu
交,majiwaru majiru kau
亥,i
亦,mata
亨,tatematsuru tooru
享,susumeru ukeru
京,miyako
亭,azumaya
亮,akiraka suke
亰,miyako
亱,yo yoru
亶,atsui makoto
亷,kado yasui
亹,tsutomeru utsukushii
人,hito
亼,atsumaru
亾,nai nakunaru horobiru
什,kumi tou majiru
仁,hito itsukushimu
仂,amari tsutomeru
仄,katamuku honoka
仆,taoreru
仇,ada kataki
今,ima
介,tasukeru suke
仍,yoru shikirini nao
从,shitagau yori
仏,hotoke
仐,kasa
仔,taeru
仕,tsukaeru tsukamatsuru
他,hoka
仗,yoru mamori tsuwamono
付,tsukeru ataeru tsuku
仙,sennin sento
仚,tobu
仛,otome yoru
仝,onaji
仞,hakaru
仟,kashira
仠,sokonau
仡,isamashii
仢,marukibashi
代,kawaru yo shiro
